Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-03-21,14:29:16.621654,1742563756.621654,s,5e-06,s,48,
2025-03-21,14:29:16.872351,1742563756.872351,s,0.250702,s,41,
2025-03-21,14:29:17.122411,1742563757.122411,s,0.500762,s,48,
2025-03-21,14:29:17.373435,1742563757.373435,s,0.751786,s,75,
2025-03-21,14:29:17.623339,1742563757.623339,s,1.00169,s,37,
2025-03-21,14:29:17.874338,1742563757.874338,s,1.252689,s,22,
2025-03-21,14:29:18.124342,1742563758.124342,s,1.502693,s,38,
2025-03-21,14:29:18.375196,1742563758.375196,s,1.753547,s,39,
2025-03-21,14:29:18.625339,1742563758.625339,s,2.00369,s,45,
2025-03-21,14:29:18.876013,1742563758.876013,s,2.254364,s,44,
2025-03-21,14:29:19.126252,1742563759.126252,s,2.504603,s,45,
2025-03-21,14:29:19.376937,1742563759.376937,s,2.755288,s,38,
2025-03-21,14:29:19.627213,1742563759.627213,s,3.005564,s,49,
2025-03-21,14:29:19.877822,1742563759.877822,s,3.256173,s,39,
2025-03-21,14:29:20.128161,1742563760.128161,s,3.506512,s,43,
2025-03-21,14:29:20.378672,1742563760.378672,s,3.757023,s,75,
2025-03-21,14:29:20.629089,1742563760.629089,s,4.00744,s,419,
2025-03-21,14:29:20.879729,1742563760.879729,s,4.25808,s,771,
2025-03-21,14:29:21.130133,1742563761.130133,s,4.508484,s,1107,
2025-03-21,14:29:21.380855,1742563761.380855,s,4.759206,s,1576,
2025-03-21,14:29:21.631032,1742563761.631032,s,5.009383,s,1903,
2025-03-21,14:29:21.881903,1742563761.881903,s,5.260254,s,2278,
2025-03-21,14:29:22.132206,1742563762.132206,s,5.510557,s,2326,
2025-03-21,14:29:22.382744,1742563762.382744,s,5.761095,s,2359,
2025-03-21,14:29:22.633120,1742563762.63312,s,6.011471,s,2394,
2025-03-21,14:29:22.883494,1742563762.883494,s,6.261845,s,2387,
2025-03-21,14:29:23.134022,1742563763.134022,s,6.512373,s,2414,
2025-03-21,14:29:23.384002,1742563763.384002,s,6.762353,s,2413,
2025-03-21,14:29:23.634953,1742563763.634953,s,7.013304,s,2416,
2025-03-21,14:29:23.884945,1742563763.884945,s,7.263296,s,2428,
2025-03-21,14:29:24.136105,1742563764.136105,s,7.514456,s,2451,
2025-03-21,14:29:24.386153,1742563764.386153,s,7.764504,s,2449,
2025-03-21,14:29:24.637042,1742563764.637042,s,8.015393,s,2449,
2025-03-21,14:29:24.887467,1742563764.887467,s,8.265818,s,2463,
2025-03-21,14:29:25.138194,1742563765.138194,s,8.516545,s,2469,
2025-03-21,14:29:25.388608,1742563765.388608,s,8.766959,s,2483,
2025-03-21,14:29:25.639142,1742563765.639142,s,9.017493,s,2487,
2025-03-21,14:29:25.889683,1742563765.889683,s,9.268034,s,2517,
2025-03-21,14:29:26.139926,1742563766.139926,s,9.518277,s,2512,
2025-03-21,14:29:26.390723,1742563766.390723,s,9.769074,s,2520,
2025-03-21,14:29:26.640924,1742563766.640924,s,10.019275,s,2534,
2025-03-21,14:29:26.891763,1742563766.891763,s,10.270114,s,2527,
2025-03-21,14:29:27.141888,1742563767.141888,s,10.520239,s,2536,
2025-03-21,14:29:27.392696,1742563767.392696,s,10.771047,s,2540,
2025-03-21,14:29:27.642901,1742563767.642901,s,11.021252,s,2556,
2025-03-21,14:29:27.893599,1742563767.893599,s,11.27195,s,2560,
2025-03-21,14:29:28.143751,1742563768.143751,s,11.522102,s,2564,
2025-03-21,14:29:28.394590,1742563768.39459,s,11.772941,s,2577,
2025-03-21,14:29:28.644602,1742563768.644602,s,12.022953,s,2575,
2025-03-21,14:29:28.895736,1742563768.895736,s,12.274087,s,2594,
2025-03-21,14:29:29.145657,1742563769.145657,s,12.524008,s,2594,
2025-03-21,14:29:29.396614,1742563769.396614,s,12.774965,s,2609,
2025-03-21,14:29:29.646709,1742563769.646709,s,13.02506,s,2605,
2025-03-21,14:29:29.897481,1742563769.897481,s,13.275832,s,2615,
2025-03-21,14:29:30.147838,1742563770.147838,s,13.526189,s,2626,
2025-03-21,14:29:30.398519,1742563770.398519,s,13.77687,s,2641,
2025-03-21,14:29:30.648888,1742563770.648888,s,14.027239,s,2637,
2025-03-21,14:29:30.899636,1742563770.899636,s,14.277987,s,2662,
2025-03-21,14:29:31.149774,1742563771.149774,s,14.528125,s,2671,
2025-03-21,14:29:31.400738,1742563771.400738,s,14.779089,s,2678,
2025-03-21,14:29:31.650805,1742563771.650805,s,15.029156,s,2697,
2025-03-21,14:29:31.901770,1742563771.90177,s,15.280121,s,2704,
2025-03-21,14:29:32.151840,1742563772.15184,s,15.530191,s,2708,
2025-03-21,14:29:32.402675,1742563772.402675,s,15.781026,s,2702,
2025-03-21,14:29:32.652896,1742563772.652896,s,16.031247,s,2707,
2025-03-21,14:29:32.903624,1742563772.903624,s,16.281975,s,2709,
2025-03-21,14:29:33.153992,1742563773.153992,s,16.532343,s,2701,
2025-03-21,14:29:33.404646,1742563773.404646,s,16.782997,s,2719,
2025-03-21,14:29:33.655076,1742563773.655076,s,17.033427,s,2715,
2025-03-21,14:29:33.905812,1742563773.905812,s,17.284163,s,2719,
2025-03-21,14:29:34.156150,1742563774.15615,s,17.534501,s,2719,
2025-03-21,14:29:34.406850,1742563774.40685,s,17.785201,s,2723,
2025-03-21,14:29:34.657141,1742563774.657141,s,18.035492,s,2725,
2025-03-21,14:29:34.907895,1742563774.907895,s,18.286246,s,2728,
2025-03-21,14:29:35.158124,1742563775.158124,s,18.536475,s,2735,
2025-03-21,14:29:35.408865,1742563775.408865,s,18.787216,s,2749,
2025-03-21,14:29:35.659123,1742563775.659123,s,19.037474,s,2756,
2025-03-21,14:29:35.909944,1742563775.909944,s,19.288295,s,2768,
2025-03-21,14:29:36.160213,1742563776.160213,s,19.538564,s,2777,
2025-03-21,14:29:36.410859,1742563776.410859,s,19.78921,s,2786,
2025-03-21,14:29:36.661207,1742563776.661207,s,20.039558,s,2800,
2025-03-21,14:29:36.911757,1742563776.911757,s,20.290108,s,2818,
2025-03-21,14:29:37.162379,1742563777.162379,s,20.54073,s,2818,
2025-03-21,14:29:37.412592,1742563777.412592,s,20.790943,s,2841,
2025-03-21,14:29:37.663402,1742563777.663402,s,21.041753,s,2848,
2025-03-21,14:29:37.913310,1742563777.91331,s,21.291661,s,2864,
2025-03-21,14:29:38.164401,1742563778.164401,s,21.542752,s,2882,
2025-03-21,14:29:38.414152,1742563778.414152,s,21.792503,s,2884,
2025-03-21,14:29:38.665419,1742563778.665419,s,22.04377,s,2894,
2025-03-21,14:29:38.915163,1742563778.915163,s,22.293514,s,2901,
2025-03-21,14:29:39.166452,1742563779.166452,s,22.544803,s,2903,
2025-03-21,14:29:39.416874,1742563779.416874,s,22.795225,s,2912,
2025-03-21,14:29:39.667329,1742563779.667329,s,23.04568,s,2921,
2025-03-21,14:29:39.918099,1742563779.918099,s,23.29645,s,2931,
2025-03-21,14:29:40.168443,1742563780.168443,s,23.546794,s,2937,
2025-03-21,14:29:40.419318,1742563780.419318,s,23.797669,s,2948,
2025-03-21,14:29:40.669456,1742563780.669456,s,24.047807,s,2949,
2025-03-21,14:29:40.920378,1742563780.920378,s,24.298729,s,2952,
