Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2024-12-11,14:48:07.662980,1733924887.66298,s,4e-06,s,71.0,°C
2024-12-11,14:48:07.913994,1733924887.913994,s,0.251018,s,71.0,°C
2024-12-11,14:48:08.163938,1733924888.163938,s,0.500962,s,71.0,°C
2024-12-11,14:48:08.414545,1733924888.414545,s,0.751569,s,71.0,°C
2024-12-11,14:48:08.664497,1733924888.664497,s,1.001521,s,71.0,°C
2024-12-11,14:48:08.915190,1733924888.91519,s,1.252214,s,71.0,°C
2024-12-11,14:48:09.165355,1733924889.165355,s,1.502379,s,71.0,°C
2024-12-11,14:48:09.415853,1733924889.415853,s,1.752877,s,71.0,°C
2024-12-11,14:48:09.665981,1733924889.665981,s,2.003005,s,71.0,°C
2024-12-11,14:48:09.916593,1733924889.916593,s,2.253617,s,71.0,°C
2024-12-11,14:48:10.166756,1733924890.166756,s,2.50378,s,71.0,°C
2024-12-11,14:48:10.417447,1733924890.417447,s,2.754471,s,71.0,°C
2024-12-11,14:48:10.667718,1733924890.667718,s,3.004742,s,71.0,°C
2024-12-11,14:48:10.918337,1733924890.918337,s,3.255361,s,71.0,°C
2024-12-11,14:48:11.168535,1733924891.168535,s,3.505559,s,71.0,°C
2024-12-11,14:48:11.419389,1733924891.419389,s,3.756413,s,71.0,°C
2024-12-11,14:48:11.669336,1733924891.669336,s,4.00636,s,71.0,°C
2024-12-11,14:48:11.920401,1733924891.920401,s,4.257425,s,71.0,°C
2024-12-11,14:48:12.170159,1733924892.170159,s,4.507183,s,71.0,°C
2024-12-11,14:48:12.421234,1733924892.421234,s,4.758258,s,71.0,°C
2024-12-11,14:48:12.671044,1733924892.671044,s,5.008068,s,71.0,°C
2024-12-11,14:48:12.922157,1733924892.922157,s,5.259181,s,71.0,°C
2024-12-11,14:48:13.172051,1733924893.172051,s,5.509075,s,71.0,°C
2024-12-11,14:48:13.423003,1733924893.423003,s,5.760027,s,71.0,°C
2024-12-11,14:48:13.672740,1733924893.67274,s,6.009764,s,71.0,°C
2024-12-11,14:48:13.924327,1733924893.924327,s,6.261351,s,71.0,°C
2024-12-11,14:48:14.173698,1733924894.173698,s,6.510722,s,71.0,°C
2024-12-11,14:48:14.425416,1733924894.425416,s,6.76244,s,71.0,°C
2024-12-11,14:48:14.674488,1733924894.674488,s,7.011512,s,71.0,°C
2024-12-11,14:48:14.926514,1733924894.926514,s,7.263538,s,71.0,°C
2024-12-11,14:48:15.175296,1733924895.175296,s,7.51232,s,71.0,°C
2024-12-11,14:48:15.427595,1733924895.427595,s,7.764619,s,71.0,°C
2024-12-11,14:48:15.676329,1733924895.676329,s,8.013353,s,71.0,°C
2024-12-11,14:48:15.928730,1733924895.92873,s,8.265754,s,71.0,°C
2024-12-11,14:48:16.177330,1733924896.17733,s,8.514354,s,71.0,°C
2024-12-11,14:48:16.429742,1733924896.429742,s,8.766766,s,71.0,°C
2024-12-11,14:48:16.678371,1733924896.678371,s,9.015395,s,71.0,°C
2024-12-11,14:48:16.930848,1733924896.930848,s,9.267872,s,71.0,°C
2024-12-11,14:48:17.179346,1733924897.179346,s,9.51637,s,71.0,°C
2024-12-11,14:48:17.431966,1733924897.431966,s,9.76899,s,71.0,°C
2024-12-11,14:48:17.680271,1733924897.680271,s,10.017295,s,71.0,°C
2024-12-11,14:48:17.933094,1733924897.933094,s,10.270118,s,71.0,°C
2024-12-11,14:48:18.181413,1733924898.181413,s,10.518437,s,71.0,°C
2024-12-11,14:48:18.434120,1733924898.43412,s,10.771144,s,71.0,°C
2024-12-11,14:48:18.682571,1733924898.682571,s,11.019595,s,71.0,°C
2024-12-11,14:48:18.935053,1733924898.935053,s,11.272077,s,71.0,°C
2024-12-11,14:48:19.183947,1733924899.183947,s,11.520971,s,71.0,°C
2024-12-11,14:48:19.436373,1733924899.436373,s,11.773397,s,71.0,°C
2024-12-11,14:48:19.685022,1733924899.685022,s,12.022046,s,71.0,°C
2024-12-11,14:48:19.937441,1733924899.937441,s,12.274465,s,70.0,°C
2024-12-11,14:48:20.186155,1733924900.186155,s,12.523179,s,70.0,°C
2024-12-11,14:48:20.438420,1733924900.43842,s,12.775444,s,70.0,°C
2024-12-11,14:48:20.687171,1733924900.687171,s,13.024195,s,70.0,°C
2024-12-11,14:48:20.939658,1733924900.939658,s,13.276682,s,70.0,°C
2024-12-11,14:48:21.188270,1733924901.18827,s,13.525294,s,70.0,°C
2024-12-11,14:48:21.440781,1733924901.440781,s,13.777805,s,70.0,°C
