distance(pixel),temperature(°C)
0.000000,29.689245
0.707107,29.689245
0.707107,29.663715
1.581139,29.663715
1.581139,29.415247
2.549510,29.415247
2.549510,29.659645
3.535534,29.659645
3.535534,29.692692
4.527693,29.692692
4.527693,29.352497
5.522681,29.352497
5.522681,29.394913
6.519202,29.394913
6.519202,29.293854
7.516648,29.293854
7.516648,29.240328
8.514693,29.240328
8.514693,28.945711
9.513149,28.945711
9.513149,29.248629
10.511898,29.248629
10.511898,28.888805
11.510864,28.888805
11.510864,28.987282
12.509996,28.987282
12.509996,28.574556
13.509256,28.574556
13.509256,29.081467
14.508618,29.081467
14.508618,29.087914
15.508062,29.087914
15.508062,28.982246
16.507574,28.982246
16.507574,28.781202
17.507141,28.781202
17.507141,28.864550
18.506756,28.864550
18.506756,28.591320
19.506409,28.591320
19.506409,28.614599
20.506097,28.614599
20.506097,28.361023
21.505813,28.361023
21.505813,28.691439
22.505555,28.691439
22.505555,28.472334
23.505319,28.472334
23.505319,28.516598
24.505102,28.516598
24.505102,28.839828
25.504901,28.839828
25.504901,28.699780
26.504717,28.699780
26.504717,28.560600
27.504545,28.560600
27.504545,28.562885
28.504386,28.562885
28.504386,28.712830
29.504237,28.712830
29.504237,28.179575
30.504098,28.179575
30.504098,28.439991
31.503968,28.439991
31.503968,28.576893
32.503846,28.576893
32.503846,28.579870
33.503731,28.579870
33.503731,27.824074
34.503623,27.824074
34.503623,28.260151
35.503521,28.260151
35.503521,28.608854
36.503424,28.608854
36.503424,27.892288
37.503333,27.892288
37.503333,28.552763
38.503247,28.552763
38.503247,28.009623
39.503164,28.009623
39.503164,28.110710
40.503086,28.110710
40.503086,28.171499
41.503012,28.171499
41.503012,28.123274
42.502941,28.123274
42.502941,27.898661
43.502873,27.898661
43.502873,27.826298
44.502809,27.826298
44.502809,27.912781
45.502747,27.912781
45.502747,27.797211
46.502688,27.797211
46.502688,27.651827
47.502632,27.651827
47.502632,28.121796
48.502577,28.121796
48.502577,27.762688
49.502525,27.762688
49.502525,27.271921
50.502475,27.271921
50.502475,27.683060
51.502427,27.683060
51.502427,27.450314
52.502381,27.450314
52.502381,27.362865
53.502336,27.362865
53.502336,27.388218
54.502294,27.388218
54.502294,27.614145
55.502252,27.614145
55.502252,26.939859
56.502212,26.939859
56.502212,26.726921
57.502174,26.726921
57.502174,26.961008
58.502137,26.961008
58.502137,26.989321
59.502101,26.989321
59.502101,26.983864
60.502066,26.983864
60.502066,26.987637
61.502032,26.987637
61.502032,27.410471
62.502000,27.410471
62.502000,27.116739
63.501968,27.116739
63.501968,27.068512
64.501938,27.068512
64.501938,26.627274
65.501908,26.627274
65.501908,26.980249
66.501880,26.980249
66.501880,26.834576
67.501852,26.834576
67.501852,26.824757
68.501825,26.824757
68.501825,26.773785
69.501799,26.773785
69.501799,26.503370
70.501773,26.503370
70.501773,26.375084
71.501748,26.375084
71.501748,26.724957
72.000000,26.724957
